pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(network access, service)	network access	service	unigram	PhraseTable_co-aligned	None	0.400	n-n
(network access, long distance)	network access	long distance	bigram	PhraseTable_co-aligned	None	0.336	n-n
(network access, distance)	network access	distance	unigram	PhraseTable_co-aligned	None	0.255	n-n
(network access, capability)	network access	capability	unigram	PhraseTable_co-aligned	None	0.197	n-n
(news media, newspaper)	news media	newspaper	unigram	PhraseTable_co-aligned	None	0.787	n-n
(news media, journalism)	news media	journalism	unigram	WordNet_synonym	None	0.776	n-n
(news media, print media)	news media	print media	bigram	WordNet_is-a	hypernym	0.688	n-n
(news media, media news)	news media	media news	bigram	Wikipedia_transposed	None	0.667	n-n
(news media, press coverage)	news media	press coverage	bigram	PhraseTable_co-aligned	None	0.645	n-n
(news media, press release)	news media	press release	bigram	PhraseTable_co-aligned	None	0.609	n-n
(news media, press conference)	news media	press conference	bigram	PhraseTable_co-aligned	None	0.593	n-n
(news media, printing press)	news media	printing press	bigram	PhraseTable_co-aligned	None	0.566	n-n
(news media, coverage)	news media	coverage	unigram	PhraseTable_co-aligned	None	0.533	n-n
(news media, press secretary)	news media	press secretary	bigram	PhraseTable_co-aligned	None	0.482	n-n
(news media, release)	news media	release	unigram	PhraseTable_co-aligned	None	0.237	n-n
(news media, format)	news media	format	unigram	PhraseTable_co-aligned	None	0.211	n-n
(news media, urge)	news media	urge	unigram	PhraseTable_co-aligned	None	0.172	n-n
(news media, fleet street)	news media	fleet street	bigram	WordNet_is-a	hyponym	0.167	n-n
(night club, nightspot)	night club	nightspot	unigram	WordNet_synonym	None	0.860	n-n
(night club, cabaret)	night club	cabaret	unigram	WordNet_synonym	None	0.808	n-n
(night club, supper club)	night club	supper club	bigram	WordNet_is-a	hyponym	0.728	n-n
(night club, club night)	night club	club night	bigram	Wikipedia_transposed	None	0.583	n-n
(night club, spot)	night club	spot	unigram	WordNet_is-a	hypernym	0.293	n-n
(north coast, northern coastline)	north coast	northern coastline	bigram	PhraseTable_co-aligned	None	0.852	a-n
(north coast, northern shore)	north coast	northern shore	bigram	PhraseTable_co-aligned	None	0.750	a-n
(north coast, coast north)	north coast	coast north	bigram	Wikipedia_transposed	None	0.708	a-n
(north coast, northern)	north coast	northern	unigram	PhraseTable_co-aligned	None	0.699	a-n
(north coast, northern mainland)	north coast	northern mainland	bigram	PhraseTable_co-aligned	None	0.432	a-n
(north coast, northwest)	north coast	northwest	unigram	PhraseTable_co-aligned	None	0.404	a-n
(north coast, mainland)	north coast	mainland	unigram	PhraseTable_co-aligned	None	0.311	a-n
(north coast, west)	north coast	west	unigram	PhraseTable_co-aligned	None	0.278	a-n
(north coast, island)	north coast	island	unigram	PhraseTable_co-aligned	None	0.242	a-n
(notary public, public notary)	notary public	public notary	bigram	Wikipedia_transposed	None	0.833	a-n
(notary public, counsel)	notary public	counsel	unigram	PhraseTable_co-aligned	None	0.602	a-n
(notary public, lawyer)	notary public	lawyer	unigram	PhraseTable_co-aligned	None	0.581	a-n
(notary public, solicitor)	notary public	solicitor	unigram	PhraseTable_co-aligned	None	0.525	a-n
(notary public, document)	notary public	document	unigram	PhraseTable_co-aligned	None	0.484	a-n
(notary public, official)	notary public	official	unigram	WordNet_is-a	hypernym	0.436	a-n
(notary public, real estate)	notary public	real estate	bigram	PhraseTable_co-aligned	None	0.375	a-n
(notary public, conveyancer)	notary public	conveyancer	unigram	PhraseTable_co-aligned	None	0.315	a-n
(nursing home, health care)	nursing home	health care	bigram	PhraseTable_co-aligned	None	0.691	n-n
(nursing home, institution)	nursing home	institution	unigram	WordNet_is-a	hypernym	0.583	n-n
(nursing home, nurse)	nursing home	nurse	unigram	PhraseTable_co-aligned	None	0.534	n-n
(nursing home, house)	nursing home	house	unigram	PhraseTable_co-aligned	None	0.516	n-n
(nursing home, household)	nursing home	household	unigram	PhraseTable_co-aligned	None	0.460	n-n
(nursing home, safe house)	nursing home	safe house	bigram	PhraseTable_co-aligned	None	0.429	n-n
(nursing home, home nursing)	nursing home	home nursing	bigram	Wikipedia_transposed	None	0.390	n-n
(nursing home, household level)	nursing home	household level	bigram	PhraseTable_co-aligned	None	0.321	n-n
(nursing home, foyer)	nursing home	foyer	unigram	PhraseTable_co-aligned	None	0.134	n-n
(nursing home, focal point)	nursing home	focal point	bigram	PhraseTable_co-aligned	None	0.129	n-n
(nursing home, fireplace)	nursing home	fireplace	unigram	PhraseTable_co-aligned	None	0.083	n-n
(nursing home, fire pit)	nursing home	fire pit	bigram	PhraseTable_co-aligned	None	0.037	n-n
(office staff, employee)	office staff	employee	unigram	PhraseTable_co-aligned	None	0.688	n-n
(office staff, personnel)	office staff	personnel	unigram	PhraseTable_co-aligned	None	0.669	n-n
(office staff, staff office)	office staff	staff office	bigram	Wikipedia_transposed	None	0.539	n-n
(office staff, bureau)	office staff	bureau	unigram	PhraseTable_co-aligned	None	0.517	n-n
(office staff, representative)	office staff	representative	unigram	PhraseTable_co-aligned	None	0.481	n-n
(office staff, service)	office staff	service	unigram	PhraseTable_co-aligned	None	0.325	n-n
(officer training, training officer)	officer training	training officer	bigram	Wikipedia_transposed	None	0.627	n-n
(officer training, formation)	officer training	formation	unigram	PhraseTable_co-aligned	None	0.615	n-n
(officer training, learning)	officer training	learning	unigram	PhraseTable_co-aligned	None	0.552	n-n
(officer training, formal education)	officer training	formal education	bigram	PhraseTable_co-aligned	None	0.546	n-n
(officer training, development)	officer training	development	unigram	PhraseTable_co-aligned	None	0.533	n-n
(officer training, skill)	officer training	skill	unigram	PhraseTable_co-aligned	None	0.458	n-n
(officer training, safety education)	officer training	safety education	bigram	PhraseTable_co-aligned	None	0.446	n-n
(officer training, legal education)	officer training	legal education	bigram	PhraseTable_co-aligned	None	0.425	n-n
(officer training, distance education)	officer training	distance education	bigram	PhraseTable_co-aligned	None	0.307	n-n
(officer training, parent education)	officer training	parent education	bigram	PhraseTable_co-aligned	None	0.289	n-n
(officer training, train)	officer training	train	unigram	PhraseTable_co-aligned	None	0.227	n-n
(online services, services online)	online services	services online	bigram	Wikipedia_transposed	None	0.797	n-n
(online services, service)	online services	service	unigram	PhraseTable_co-aligned	None	0.651	n-n
(online services, business)	online services	business	unigram	PhraseTable_co-aligned	None	0.463	n-n
(online services, program)	online services	program	unigram	PhraseTable_co-aligned	None	0.432	n-n
(online services, direct service)	online services	direct service	bigram	PhraseTable_co-aligned	None	0.424	n-n
(online services, primary service)	online services	primary service	bigram	PhraseTable_co-aligned	None	0.381	n-n
(online services, service delivery)	online services	service delivery	bigram	PhraseTable_co-aligned	None	0.365	n-n
(online services, form)	online services	form	unigram	PhraseTable_co-aligned	None	0.259	n-n
(online services, air)	online services	air	unigram	PhraseTable_co-aligned	None	0.233	n-n
(online services, home page)	online services	home page	bigram	PhraseTable_co-aligned	None	0.205	n-n
(online services, retirement pension)	online services	retirement pension	bigram	PhraseTable_co-aligned	None	0.142	n-n
(operations management, management operations)	operations management	management operations	bigram	Wikipedia_transposed	None	0.645	n-n
(operations management, administration)	operations management	administration	unigram	PhraseTable_co-aligned	None	0.543	n-n
(operations management, operation)	operations management	operation	unigram	PhraseTable_co-aligned	None	0.482	n-n
(operations management, business)	operations management	business	unigram	PhraseTable_co-aligned	None	0.477	n-n
(operations management, comptroller)	operations management	comptroller	unigram	PhraseTable_co-aligned	None	0.342	n-n
(operations management, resource)	operations management	resource	unigram	PhraseTable_co-aligned	None	0.250	n-n
(opposite direction, direction opposite)	opposite direction	direction opposite	bigram	Wikipedia_transposed	None	0.822	a-n
(opposite direction, reverse)	opposite direction	reverse	unigram	PhraseTable_co-aligned	None	0.654	a-n
(opposite direction, contrary view)	opposite direction	contrary view	bigram	PhraseTable_co-aligned	None	0.533	a-n
(opposite direction, contrast)	opposite direction	contrast	unigram	PhraseTable_co-aligned	None	0.508	a-n
(opposite direction, sharp contrast)	opposite direction	sharp contrast	bigram	PhraseTable_co-aligned	None	0.468	a-n
(opposite direction, adverse effect)	opposite direction	adverse effect	bigram	PhraseTable_co-aligned	None	0.429	a-n
(opposite direction, stark contrast)	opposite direction	stark contrast	bigram	PhraseTable_co-aligned	None	0.347	a-n
(opposite direction, direct conflict)	opposite direction	direct conflict	bigram	PhraseTable_co-aligned	None	0.296	a-n
(opposite direction, violation)	opposite direction	violation	unigram	PhraseTable_co-aligned	None	0.250	a-n
(opposite direction, fact)	opposite direction	fact	unigram	PhraseTable_co-aligned	None	0.246	a-n
(opposite direction, counter)	opposite direction	counter	unigram	PhraseTable_co-aligned	None	0.188	a-n
(opposite side, side opposite)	opposite side	side opposite	bigram	Wikipedia_transposed	None	0.750	a-n
(opposite side, contrast)	opposite side	contrast	unigram	PhraseTable_co-aligned	None	0.625	a-n
(opposite side, official opposition)	opposite side	official opposition	bigram	PhraseTable_co-aligned	None	0.517	a-n
(opposite side, opposition party)	opposite side	opposition party	bigram	PhraseTable_co-aligned	None	0.516	a-n
(opposite side, opposition member)	opposite side	opposition member	bigram	PhraseTable_co-aligned	None	0.474	a-n
(opposite side, loyal opposition)	opposite side	loyal opposition	bigram	PhraseTable_co-aligned	None	0.409	a-n
(opposite side, public opposition)	opposite side	public opposition	bigram	PhraseTable_co-aligned	None	0.402	a-n
(opposite side, surface)	opposite side	surface	unigram	PhraseTable_co-aligned	None	0.213	a-n
(opposite side, meet)	opposite side	meet	unigram	PhraseTable_co-aligned	None	0.144	a-n
(opposite side, house)	opposite side	house	unigram	PhraseTable_co-aligned	None	0.121	a-n
(opposite side, supply)	opposite side	supply	unigram	PhraseTable_co-aligned	None	0.096	a-n
(orchestra pit, pit orchestra)	orchestra pit	pit orchestra	bigram	Wikipedia_transposed	None	0.595	a-n
(orchestra pit, area)	orchestra pit	area	unigram	WordNet_is-a	hypernym	0.371	a-n
(pack ice, ice pack)	pack ice	ice pack	bigram	Wikipedia_transposed	None	0.780	n-n
(pack ice, floe)	pack ice	floe	unigram	PhraseTable_co-aligned	None	0.500	n-n
(pack ice, drift)	pack ice	drift	unigram	PhraseTable_co-aligned	None	0.188	n-n
(pack ice, sea)	pack ice	sea	unigram	PhraseTable_co-aligned	None	0.158	n-n
(pack ice, fast)	pack ice	fast	unigram	PhraseTable_co-aligned	None	0.133	n-n
(pack ice, concentration)	pack ice	concentration	unigram	PhraseTable_co-aligned	None	0.103	n-n
(panel discussion, discussion panel)	panel discussion	discussion panel	bigram	Wikipedia_transposed	None	0.827	n-n
(panel discussion, talk)	panel discussion	talk	unigram	PhraseTable_co-aligned	None	0.724	n-n
(panel discussion, dialogue)	panel discussion	dialogue	unigram	PhraseTable_co-aligned	None	0.712	n-n
(panel discussion, forum)	panel discussion	forum	unigram	PhraseTable_co-aligned	None	0.705	n-n
(panel discussion, conversation)	panel discussion	conversation	unigram	PhraseTable_co-aligned	None	0.667	n-n
(panel discussion, working group)	panel discussion	working group	bigram	PhraseTable_co-aligned	None	0.516	n-n
(panel discussion, hall meeting)	panel discussion	hall meeting	bigram	PhraseTable_co-aligned	None	0.483	n-n
(panel discussion, focus group)	panel discussion	focus group	bigram	PhraseTable_co-aligned	None	0.422	n-n
(panel discussion, issue)	panel discussion	issue	unigram	PhraseTable_co-aligned	None	0.421	n-n
(panel discussion, task force)	panel discussion	task force	bigram	PhraseTable_co-aligned	None	0.379	n-n
(panel discussion, town hall)	panel discussion	town hall	bigram	PhraseTable_co-aligned	None	0.263	n-n
(panel discussion, give-and-take)	panel discussion	give-and-take	unigram	WordNet_is-a	hypernym	0.185	n-n
(panel member, committee)	panel member	committee	unigram	PhraseTable_co-aligned	None	0.598	n-n
(panel member, member panel)	panel member	member panel	bigram	Wikipedia_transposed	None	0.567	n-n
(panel member, committee membership)	panel member	committee membership	bigram	PhraseTable_co-aligned	None	0.534	n-n
(panel member, person)	panel member	person	unigram	PhraseTable_co-aligned	None	0.509	n-n
(panel member, board)	panel member	board	unigram	PhraseTable_co-aligned	None	0.473	n-n
(panel member, questioner)	panel member	questioner	unigram	PhraseTable_co-aligned	None	0.458	n-n
(panel member, council)	panel member	council	unigram	PhraseTable_co-aligned	None	0.387	n-n
(paper copy, print version)	paper copy	print version	bigram	PhraseTable_co-aligned	None	0.812	n-n
(paper copy, print)	paper copy	print	unigram	PhraseTable_co-aligned	None	0.741	n-n
(paper copy, printed version)	paper copy	printed version	bigram	PhraseTable_co-aligned	None	0.598	n-n
(paper copy, print format)	paper copy	print format	bigram	PhraseTable_co-aligned	None	0.569	n-n
(paper copy, copy paper)	paper copy	copy paper	bigram	Wikipedia_transposed	None	0.545	n-n
(paper copy, sample)	paper copy	sample	unigram	PhraseTable_co-aligned	None	0.339	n-n
(paper copy, mailing list)	paper copy	mailing list	bigram	PhraseTable_co-aligned	None	0.315	n-n
(paper copy, success story)	paper copy	success story	bigram	PhraseTable_co-aligned	None	0.194	n-n
(paper copy, year)	paper copy	year	unigram	PhraseTable_co-aligned	None	0.155	n-n
(paper copy, stock)	paper copy	stock	unigram	PhraseTable_co-aligned	None	0.151	n-n
(paper copy, cat)	paper copy	cat	unigram	PhraseTable_co-aligned	None	0.054	n-n
(passenger train, rail)	passenger train	rail	unigram	PhraseTable_co-aligned	None	0.784	n-n
(passenger train, railway)	passenger train	railway	unigram	PhraseTable_co-aligned	None	0.778	n-n
(passenger train, rail service)	passenger train	rail service	bigram	PhraseTable_co-aligned	None	0.716	n-n
(passenger train, train passenger)	passenger train	train passenger	bigram	Wikipedia_transposed	None	0.675	n-n
(passenger train, railroad train)	passenger train	railroad train	bigram	WordNet_is-a	hypernym	0.604	n-n
(passenger train, bullet train)	passenger train	bullet train	bigram	WordNet_is-a	hyponym	0.591	n-n
(passenger train, couchette)	passenger train	couchette	unigram	WordNet_part-whole	meronym	0.231	n-n
(passenger train, westward)	passenger train	westward	unigram	PhraseTable_co-aligned	None	0.169	n-n
(passenger train, eastward)	passenger train	eastward	unigram	PhraseTable_co-aligned	None	0.148	n-n
(passenger train, operation)	passenger train	operation	unigram	PhraseTable_co-aligned	None	0.133	n-n
(peace offering, offering peace)	peace offering	offering peace	bigram	Wikipedia_transposed	None	0.676	n-n
(peace offering, olive branch)	peace offering	olive branch	bigram	WordNet_synonym	None	0.516	n-n
(percentage point, point percentage)	percentage point	point percentage	bigram	Wikipedia_transposed	None	0.667	n-n
(percentage point, percent increase)	percentage point	percent increase	bigram	PhraseTable_co-aligned	None	0.627	n-n
(percentage point, percent range)	percentage point	percent range	bigram	PhraseTable_co-aligned	None	0.574	n-n
(percentage point, percent share)	percentage point	percent share	bigram	PhraseTable_co-aligned	None	0.527	n-n
(percentage point, rate)	percentage point	rate	unigram	PhraseTable_co-aligned	None	0.525	n-n
(percentage point, mathematical notation)	percentage point	mathematical notation	bigram	WordNet_is-a	hypernym	0.468	n-n
(percentage point, position)	percentage point	position	unigram	PhraseTable_co-aligned	None	0.466	n-n
(percentage point, number)	percentage point	number	unigram	PhraseTable_co-aligned	None	0.415	n-n
(percentage point, cent)	percentage point	cent	unigram	PhraseTable_co-aligned	None	0.375	n-n
(percentage point, item number)	percentage point	item number	bigram	PhraseTable_co-aligned	None	0.275	n-n
(percentage point, record straight)	percentage point	record straight	bigram	PhraseTable_co-aligned	None	0.220	n-n
(percentage point, place)	percentage point	place	unigram	PhraseTable_co-aligned	None	0.164	n-n
(perfect pitch, pitch perfect)	perfect pitch	pitch perfect	bigram	Wikipedia_transposed	None	0.705	a-n
(perfect pitch, hearing)	perfect pitch	hearing	unigram	WordNet_is-a	hypernym	0.431	a-n
(personnel administration, staff management)	personnel administration	staff management	bigram	PhraseTable_co-aligned	None	0.810	n-n
(personnel administration, workforce management)	personnel administration	workforce management	bigram	PhraseTable_co-aligned	None	0.651	n-n
(personnel administration, administration personnel)	personnel administration	administration personnel	bigram	Wikipedia_transposed	None	0.609	n-n
(personnel administration, personal management)	personnel administration	personal management	bigram	PhraseTable_co-aligned	None	0.603	n-n
(personnel administration, employee)	personnel administration	employee	unigram	PhraseTable_co-aligned	None	0.597	n-n
(personnel administration, staff)	personnel administration	staff	unigram	PhraseTable_co-aligned	None	0.564	n-n
(personnel administration, management)	personnel administration	management	unigram	PhraseTable_co-aligned	None	0.555	n-n
(personnel administration, people)	personnel administration	people	unigram	PhraseTable_co-aligned	None	0.525	n-n
(personnel administration, resource management)	personnel administration	resource management	bigram	PhraseTable_co-aligned	None	0.521	n-n
(personnel administration, work)	personnel administration	work	unigram	PhraseTable_co-aligned	None	0.493	n-n
(personnel management, people)	personnel management	people	unigram	PhraseTable_co-aligned	None	0.647	n-n
(personnel management, management personnel)	personnel management	management personnel	bigram	Wikipedia_transposed	None	0.593	n-n
(personnel management, employee)	personnel management	employee	unigram	PhraseTable_co-aligned	None	0.526	n-n
(personnel management, system)	personnel management	system	unigram	PhraseTable_co-aligned	None	0.381	n-n
(personnel management, accounting)	personnel management	accounting	unigram	PhraseTable_co-aligned	None	0.311	n-n
(personnel management, financial administration)	personnel management	financial administration	bigram	PhraseTable_co-aligned	None	0.303	n-n
(personnel management, matter)	personnel management	matter	unigram	PhraseTable_co-aligned	None	0.207	n-n
(phase transition, transition phase)	phase transition	transition phase	bigram	Wikipedia_transposed	None	0.623	n-n
(phase transition, state change)	phase transition	state change	bigram	WordNet_synonym	None	0.613	n-n
(phase transition, physical change)	phase transition	physical change	bigram	WordNet_synonym	None	0.474	n-n
(phase transition, freeze)	phase transition	freeze	unigram	WordNet_is-a	hyponym	0.336	n-n
(phase transition, natural process)	phase transition	natural process	bigram	WordNet_is-a	hypernym	0.320	n-n
(piano player, pianist)	piano player	pianist	unigram	WordNet_synonym	None	0.879	n-n
(piano player, musician)	piano player	musician	unigram	WordNet_is-a	hypernym	0.719	n-n
(piano player, player piano)	piano player	player piano	bigram	Wikipedia_transposed	None	0.603	n-n
(pilot project, project pilot)	pilot project	project pilot	bigram	Wikipedia_transposed	None	0.717	n-n
(pilot project, test)	pilot project	test	unigram	WordNet_is-a	hypernym	0.555	n-n
(pilot project, initiative)	pilot project	initiative	unigram	PhraseTable_co-aligned	None	0.508	n-n
(pilot project, proposal)	pilot project	proposal	unigram	PhraseTable_co-aligned	None	0.344	n-n
(pilot project, program)	pilot project	program	unigram	PhraseTable_co-aligned	None	0.310	n-n
(pilot project, pension plan)	pilot project	pension plan	bigram	PhraseTable_co-aligned	None	0.241	n-n
(pilot project, standing committee)	pilot project	standing committee	bigram	PhraseTable_co-aligned	None	0.226	n-n
(pilot project, board)	pilot project	board	unigram	PhraseTable_co-aligned	None	0.175	n-n
(pilot project, climate change)	pilot project	climate change	bigram	PhraseTable_co-aligned	None	0.175	n-n
(pilot project, international trade)	pilot project	international trade	bigram	PhraseTable_co-aligned	None	0.169	n-n
(pilot project, cape)	pilot project	cape	unigram	PhraseTable_co-aligned	None	0.159	n-n
(pilot project, mounted police)	pilot project	mounted police	bigram	PhraseTable_co-aligned	None	0.145	n-n
(pipe organ, organ pipe)	pipe organ	organ pipe	bigram	Wikipedia_transposed	None	0.439	n-n
(pipe organ, keyboard)	pipe organ	keyboard	unigram	WordNet_part-whole	meronym	0.421	n-n
(pipe organ, keyboard instrument)	pipe organ	keyboard instrument	bigram	WordNet_is-a	hypernym	0.411	n-n
(playing card, ace)	playing card	ace	unigram	WordNet_is-a	hyponym	0.732	a-n
(playing card, card playing)	playing card	card playing	bigram	Wikipedia_transposed	None	0.682	a-n
(playing card, deck)	playing card	deck	unigram	WordNet_part-whole	holonym	0.460	a-n
(playing card, face)	playing card	face	unigram	WordNet_part-whole	meronym	0.176	a-n
(police chief, chief police)	police chief	chief police	bigram	Wikipedia_transposed	None	0.855	n-n
(police chief, policeman)	police chief	policeman	unigram	WordNet_is-a	hypernym	0.793	n-n
(police chief, chief constable)	police chief	chief constable	bigram	WordNet_is-a	hyponym	0.728	n-n
(police chief, inspector)	police chief	inspector	unigram	PhraseTable_co-aligned	None	0.658	n-n
(police chief, commissioner)	police chief	commissioner	unigram	PhraseTable_co-aligned	None	0.607	n-n
(police chief, captain)	police chief	captain	unigram	WordNet_synonym	None	0.581	n-n
(police chief, superintendent)	police chief	superintendent	unigram	PhraseTable_co-aligned	None	0.509	n-n
(police community, policeman)	police community	policeman	unigram	PhraseTable_co-aligned	None	0.776	n-n
(police community, law enforcement)	police community	law enforcement	bigram	PhraseTable_co-aligned	None	0.664	n-n
(police community, cop)	police community	cop	unigram	PhraseTable_co-aligned	None	0.638	n-n
(police community, community police)	police community	community police	bigram	Wikipedia_transposed	None	0.615	n-n
(police community, crime prevention)	police community	crime prevention	bigram	PhraseTable_co-aligned	None	0.561	n-n
(police community, civilian oversight)	police community	civilian oversight	bigram	PhraseTable_co-aligned	None	0.476	n-n
(police community, marshal)	police community	marshal	unigram	PhraseTable_co-aligned	None	0.475	n-n
(police community, peace officer)	police community	peace officer	bigram	PhraseTable_co-aligned	None	0.449	n-n
(police community, criminal justice)	police community	criminal justice	bigram	PhraseTable_co-aligned	None	0.426	n-n
(police community, enforcement)	police community	enforcement	unigram	PhraseTable_co-aligned	None	0.357	n-n
(police community, member)	police community	member	unigram	PhraseTable_co-aligned	None	0.328	n-n
(police service, law enforcement)	police service	law enforcement	bigram	PhraseTable_co-aligned	None	0.727	n-n
(police service, service police)	police service	service police	bigram	Wikipedia_transposed	None	0.709	n-n
(police service, serving)	police service	serving	unigram	PhraseTable_co-aligned	None	0.553	n-n
(police service, duty)	police service	duty	unigram	PhraseTable_co-aligned	None	0.526	n-n
(police service, department)	police service	department	unigram	PhraseTable_co-aligned	None	0.516	n-n
(police service, unit)	police service	unit	unigram	PhraseTable_co-aligned	None	0.422	n-n
(police service, work unit)	police service	work unit	bigram	PhraseTable_co-aligned	None	0.267	n-n
(police service, policy)	police service	policy	unigram	PhraseTable_co-aligned	None	0.263	n-n
(police service, pension plan)	police service	pension plan	bigram	PhraseTable_co-aligned	None	0.263	n-n
(police service, task force)	police service	task force	bigram	PhraseTable_co-aligned	None	0.258	n-n
(police service, insurance policy)	police service	insurance policy	bigram	PhraseTable_co-aligned	None	0.214	n-n
(policy making, making policy)	policy making	making policy	bigram	Wikipedia_transposed	None	0.792	n-n
(policy making, government)	policy making	government	unigram	PhraseTable_co-aligned	None	0.667	n-n
(policy making, political level)	policy making	political level	bigram	PhraseTable_co-aligned	None	0.633	n-n
(policy making, political side)	policy making	political side	bigram	PhraseTable_co-aligned	None	0.582	n-n
(policy making, political party)	policy making	political party	bigram	PhraseTable_co-aligned	None	0.567	n-n
(policy making, politician)	policy making	politician	unigram	PhraseTable_co-aligned	None	0.535	n-n
(policy making, politics)	policy making	politics	unigram	PhraseTable_co-aligned	None	0.508	n-n
(policy making, political process)	policy making	political process	bigram	PhraseTable_co-aligned	None	0.500	n-n
(policy making, development)	policy making	development	unigram	PhraseTable_co-aligned	None	0.466	n-n
(policy making, political nature)	policy making	political nature	bigram	PhraseTable_co-aligned	None	0.433	n-n
(policy making, police)	policy making	police	unigram	PhraseTable_co-aligned	None	0.229	n-n
(pop art, art pop)	pop art	art pop	bigram	Wikipedia_transposed	None	0.705	a-n
(pop art, artistic movement)	pop art	artistic movement	bigram	WordNet_is-a	hypernym	0.642	a-n
(population base, base population)	population base	base population	bigram	Wikipedia_transposed	None	0.763	n-n
(population base, demographic)	population base	demographic	unigram	PhraseTable_co-aligned	None	0.623	n-n
(population base, populace)	population base	populace	unigram	PhraseTable_co-aligned	None	0.589	n-n
(population base, nation)	population base	nation	unigram	PhraseTable_co-aligned	None	0.500	n-n
(population base, labour force)	population base	labour force	bigram	PhraseTable_co-aligned	None	0.408	n-n
(population base, group)	population base	group	unigram	PhraseTable_co-aligned	None	0.368	n-n
(population base, public awareness)	population base	public awareness	bigram	PhraseTable_co-aligned	None	0.340	n-n
(population base, public opinion)	population base	public opinion	bigram	PhraseTable_co-aligned	None	0.336	n-n
(population base, public interest)	population base	public interest	bigram	PhraseTable_co-aligned	None	0.333	n-n
(population base, public service)	population base	public service	bigram	PhraseTable_co-aligned	None	0.281	n-n
(population base, constituent)	population base	constituent	unigram	PhraseTable_co-aligned	None	0.161	n-n
(potential energy, energy potential)	potential energy	energy potential	bigram	Wikipedia_transposed	None	0.662	a-n
(potential energy, elastic energy)	potential energy	elastic energy	bigram	WordNet_is-a	hyponym	0.549	a-n
(potential energy, mechanical energy)	potential energy	mechanical energy	bigram	WordNet_is-a	hypernym	0.492	a-n
(potential future, future potential)	potential future	future potential	bigram	Wikipedia_transposed	None	0.732	a-n
(potential future, prospect)	potential future	prospect	unigram	PhraseTable_co-aligned	None	0.579	a-n
(potential future, possibility)	potential future	possibility	unigram	PhraseTable_co-aligned	None	0.556	a-n
(potential future, prospective client)	potential future	prospective client	bigram	PhraseTable_co-aligned	None	0.466	a-n
(potential future, event)	potential future	event	unigram	PhraseTable_co-aligned	None	0.391	a-n
(potential future, eventual outcome)	potential future	eventual outcome	bigram	PhraseTable_co-aligned	None	0.391	a-n
(potential future, eventual aim)	potential future	eventual aim	bigram	PhraseTable_co-aligned	None	0.373	a-n
(potential future, lead)	potential future	lead	unigram	PhraseTable_co-aligned	None	0.364	a-n
(potential future, prospective employer)	potential future	prospective employer	bigram	PhraseTable_co-aligned	None	0.330	a-n
(potential future, ultimate)	potential future	ultimate	unigram	PhraseTable_co-aligned	None	0.184	a-n
(potential future, free trade)	potential future	free trade	bigram	PhraseTable_co-aligned	None	0.164	a-n
(power grid, electricity network)	power grid	electricity network	bigram	PhraseTable_co-aligned	None	0.904	n-n
(power grid, electric system)	power grid	electric system	bigram	PhraseTable_co-aligned	None	0.818	n-n
(power grid, electricity)	power grid	electricity	unigram	PhraseTable_co-aligned	None	0.798	n-n
(power grid, electricity system)	power grid	electricity system	bigram	PhraseTable_co-aligned	None	0.783	n-n
(power grid, electrical system)	power grid	electrical system	bigram	PhraseTable_co-aligned	None	0.750	n-n
(power grid, electrical network)	power grid	electrical network	bigram	PhraseTable_co-aligned	None	0.741	n-n
(power grid, grid power)	power grid	grid power	bigram	Wikipedia_transposed	None	0.693	n-n
(power grid, electric)	power grid	electric	unigram	PhraseTable_co-aligned	None	0.656	n-n
(power grid, network)	power grid	network	unigram	PhraseTable_co-aligned	None	0.636	n-n
(power grid, electric main)	power grid	electric main	bigram	WordNet_part-whole	meronym	0.598	n-n
(power grid, system)	power grid	system	unigram	PhraseTable_co-aligned	None	0.447	n-n
(power grid, distribution)	power grid	distribution	unigram	PhraseTable_co-aligned	None	0.438	n-n
(power grid, facility)	power grid	facility	unigram	WordNet_is-a	hypernym	0.392	n-n
(power reactor, nuclear plant)	power reactor	nuclear plant	bigram	PhraseTable_co-aligned	None	0.759	n-n
(power reactor, nuclear energy)	power reactor	nuclear energy	bigram	PhraseTable_co-aligned	None	0.719	n-n
(power reactor, reactor power)	power reactor	reactor power	bigram	Wikipedia_transposed	None	0.670	n-n
(power reactor, plant)	power reactor	plant	unigram	PhraseTable_co-aligned	None	0.650	n-n
(power reactor, nuclear industry)	power reactor	nuclear industry	bigram	PhraseTable_co-aligned	None	0.614	n-n
(power reactor, nuclear generation)	power reactor	nuclear generation	bigram	PhraseTable_co-aligned	None	0.580	n-n
(power reactor, nuclear capacity)	power reactor	nuclear capacity	bigram	PhraseTable_co-aligned	None	0.548	n-n
(power reactor, facility)	power reactor	facility	unigram	PhraseTable_co-aligned	None	0.476	n-n
(power reactor, industry)	power reactor	industry	unigram	PhraseTable_co-aligned	None	0.475	n-n
(power reactor, station)	power reactor	station	unigram	PhraseTable_co-aligned	None	0.395	n-n
(power reactor, coal)	power reactor	coal	unigram	PhraseTable_co-aligned	None	0.288	n-n
(power system, electrical network)	power system	electrical network	bigram	PhraseTable_co-aligned	None	0.819	n-n
(power system, electricity)	power system	electricity	unigram	PhraseTable_co-aligned	None	0.787	n-n
